Voltaje (Volts)	Corriente(Amperes)
-7.000E-1	-4.104E-3
-6.858E-1	-4.110E-3
-6.717E-1	-4.151E-3
-6.576E-1	-4.184E-3
-6.434E-1	-4.151E-3
-6.293E-1	-4.181E-3
-6.151E-1	-4.164E-3
-6.010E-1	-4.145E-3
-5.868E-1	-4.159E-3
-5.727E-1	-4.144E-3
-5.586E-1	-4.178E-3
-5.444E-1	-4.165E-3
-5.302E-1	-4.156E-3
-5.161E-1	-4.158E-3
-5.020E-1	-4.187E-3
-4.879E-1	-4.149E-3
-4.737E-1	-4.149E-3
-4.596E-1	-4.138E-3
-4.454E-1	-4.119E-3
-4.313E-1	-4.133E-3
-4.171E-1	-4.143E-3
-4.030E-1	-4.146E-3
-3.889E-1	-4.141E-3
-3.747E-1	-4.147E-3
-3.606E-1	-4.168E-3
-3.464E-1	-4.173E-3
-3.322E-1	-4.144E-3
-3.182E-1	-4.121E-3
-3.040E-1	-4.119E-3
-2.898E-1	-4.152E-3
-2.757E-1	-4.133E-3
-2.615E-1	-4.142E-3
-2.474E-1	-4.134E-3
-2.333E-1	-4.139E-3
-2.191E-1	-4.141E-3
-2.050E-1	-4.108E-3
-1.909E-1	-4.136E-3
-1.767E-1	-4.143E-3
-1.626E-1	-4.139E-3
-1.484E-1	-4.144E-3
-1.343E-1	-4.148E-3
-1.202E-1	-4.113E-3
-1.060E-1	-4.139E-3
-9.184E-2	-4.090E-3
-7.772E-2	-4.135E-3
-6.357E-2	-4.168E-3
-4.943E-2	-4.144E-3
-3.525E-2	-4.136E-3
-2.110E-2	-4.126E-3
-6.948E-3	-4.126E-3
7.107E-3	-4.114E-3
2.125E-2	-4.057E-3
3.539E-2	-4.110E-3
4.958E-2	-4.107E-3
6.372E-2	-4.091E-3
7.786E-2	-4.125E-3
9.198E-2	-4.115E-3
1.061E-1	-4.088E-3
1.203E-1	-4.072E-3
1.344E-1	-4.088E-3
1.486E-1	-4.083E-3
1.627E-1	-4.042E-3
1.768E-1	-4.036E-3
1.910E-1	-4.043E-3
2.051E-1	-4.030E-3
2.193E-1	-4.044E-3
2.334E-1	-4.036E-3
2.476E-1	-4.008E-3
2.616E-1	-3.988E-3
2.758E-1	-3.994E-3
2.900E-1	-3.984E-3
3.041E-1	-3.964E-3
3.183E-1	-3.937E-3
3.324E-1	-3.925E-3
3.465E-1	-3.901E-3
3.607E-1	-3.927E-3
3.748E-1	-3.880E-3
3.890E-1	-3.819E-3
4.031E-1	-3.787E-3
4.173E-1	-3.724E-3
4.314E-1	-3.638E-3
4.455E-1	-3.530E-3
4.597E-1	-3.458E-3
4.738E-1	-3.263E-3
4.880E-1	-3.153E-3
5.021E-1	-2.929E-3
5.162E-1	-2.602E-3
5.304E-1	-2.194E-3
5.445E-1	-1.676E-3
5.587E-1	-1.017E-3
5.728E-1	-1.963E-4
5.870E-1	8.422E-4
6.011E-1	2.189E-3
6.153E-1	3.794E-3
6.294E-1	5.763E-3
6.436E-1	8.079E-3
6.577E-1	1.084E-2
6.718E-1	1.405E-2
6.860E-1	1.776E-2
7.001E-1	2.198E-2
